Country;Airport;Code;Pax 2015;;;;;;;;;;;;;;
Norway;Bronnoysund;BNN;129 636;;;;;;;;;;;;;;
Norway;Floro;FRO;176 954;;;;;;;;;;;;;;
Norway;Hammerfest;HFT;174 851;;;;;;;;;;;;;;
Norway;Harstad/Narvik;EVE;709 152;;;;;;;;;;;;;;
Norway;Haugesund;HAU;659 937;;;;;;;;;;;;;;
Norway;Kirkenes;KKN;311 066;;;;;;;;;;;;;;
Norway;Kristiansand;KRS;1 058 224;;;;;;;;;;;;;;
Norway;Kristiansund;KSU;364 817;;;;;;;;;;;;;;
Norway;Leknes;LKN;105 470;;;;;;;;;;;;;;
Norway;Mo I Rana;MQN;119 650;;;;;;;;;;;;;;
Norway;Molde;MOL;517 009;;;;;;;;;;;;;;
Norway;Moss Rygge;RYG;1 642 156;;;;;;;;;;;;;;
Norway;Orsta/Volda;HOV;115 009;;;;;;;;;;;;;;
Norway;Oslo;OSL;24 672 531;;;;;;;;;;;;;;
Norway;Sandefjord Torp;TRF;1 542 504;;;;;;;;;;;;;;
Norway;Stavanger;SVG;4 499 482;;;;;;;;;;;;;;
Norway;Stokmarknes;SKN;107 400;;;;;;;;;;;;;;
Norway;Svalbard;LYR;165 584;;;;;;;;;;;;;;
Norway;Tromso;TOS;2 009 231;;;;;;;;;;;;;;
Norway;Trondheim;TRD;4 352 671;;;;;;;;;;;;;;
Norway;Vadso;VDS;102 223;;;;;;;;;;;;;;
Poland;Top 12 airports;;30 563 994;;;;;;;;;;;;;;
Poland;Bydgoszcz;BZG;341 079;;;;;;;;;;;;;;
Poland;Gdansk;GDN;3 706 180;;;;;;;;;;;;;;
Poland;Katowice;KTW;3 069 531;;;;;;;;;;;;;;
Poland;Krakow;KRK;4 221 171;;;;;;;;;;;;;;
Poland;Lodz;LCJ;287 628;;;;;;;;;;;;;;
Poland;Lublin;LUZ;265 021;;;;;;;;;;;;;;
Poland;Poznan;POZ;1 500 918;;;;;;;;;;;;;;
Poland;Rzeszow;RZE;645 105;;;;;;;;;;;;;;
Poland;Szczecin;SZZ;412 547;;;;;;;;;;;;;;
Poland;Warsaw;WAW;11 206 700;;;;;;;;;;;;;;
Poland;Warsaw Modlin;WMI;2 588 171;;;;;;;;;;;;;;
Poland;Wroclaw;WRO;2 320 015;;;;;;;;;;;;;;
Portugal;Top 3 airports;;34 614 312;;;;;;;;;;;;;;
Portugal;Faro;FAO;6 436 881;;;;;;;;;;;;;;
Portugal;Funchal;FNC;2 605 547;;;;;;;;;;;;;;
Portugal;Lisbon;LIS;20 090 254;;;;;;;;;;;;;;
Portugal;Ponta Delgada;PDL;1 267 978;;;;;;;;;;;;;;
Portugal;Porto;OPO;8 087 177;;;;;;;;;;;;;;
Romania;Major airports;;12 743 392;;;;;;;;;;;;;;
Romania;Bacau;BCM;364 492;;;;;;;;;;;;;;
Romania;Bucharest Otopeni;OTP;9 282 884;;;;;;;;;;;;;;
Romania;Cluj Napoca;CLJ;1 487 603;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Romania;Iasi;IAS;376 865;;;;;;;;;;;;;;
Romania;Sibiu;SBZ;307 026;;;;;;;;;;;;;;
Romania;Suceava;SCV;;;;;;;;;;;;;;;
Romania;Targu Mures;TGM;336 694;;;;;;;;;;;;;;
Romania;Timisoara;TSR;924 463;;;;;;;;;;;;;;
Russia;Selected major airports;;;;;;;;;;;;;;;;
Russia;Anapa;AAQ;1 179 808;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Russia;Ekaterinburg;SVX;4 248 000;;;;;;;;;;;;;;
Russia;Gelendzhik;GDZ;274 227;;;;;;;;;;;;;;
Russia;Kazan;KZN;1 802 709;;;;;;;;;;;;;;
Russia;Krasnodar;KRR;3 128 248;;;;;;;;;;;;;;
Russia;Krasnoyarsk;KJA;;;;;;;;;;;;;;;
Russia;Moscow Domodedovo;DME;30 504 505;;;;;;;;;;;;;;
Russia;Moscow Sheremetyevo;SVO;31 611 061;;;;;;;;;;;;;;
Russia;Moscow Vnukovo;VKO;15 814 894;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Russia;Novosibirsk;OVB;3 703 211;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Russia;Sochi/Adler;AER;4 089 327;;;;;;;;;;;;;;
Russia;St Petersburg;LED;13 501 440;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Russia;Volgograd;VOG;901 563;;;;;;;;;;;;;;
Serbia;Belgrade;BEG;4 776 164;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Slovakia;Bratislava;BTS;1 564 311;;;;;;;;;;;;;;
Slovakia;Kosice;KSC;410 449;;;;;;;;;;;;;;
Slovenia;Ljubljana;LJU;1 438 304;;;;;;;;;;;;;;
Spain;All airports;;207 414 141;;;;;;;;;;;;;;
Spain;A Coruna;LCG;1 025 688;;;;;;;;;;;;;;
Spain;Alicante;ALC;10 574 484;;;;;;;;;;;;;;
Spain;Almeria;LEI;691 488;;;;;;;;;;;;;;
Spain;Asturias;OVD;1 119 273;;;;;;;;;;;;;;
Spain;Barcelona;BCN;39 711 276;;;;;;;;;;;;;;
Spain;Bilbao;BIO;4 277 430;;;;;;;;;;;;;;
Spain;El Hierro;VDE;146 790;;;;;;;;;;;;;;
Spain;Fuerteventura;FUE;5 026 902;;;;;;;;;;;;;;
Spain;Girona;GRO;1 775 318;;;;;;;;;;;;;;
Spain;Gran Canaria;LPA;10 627 182;;;;;;;;;;;;;;
Spain;Granada;GRX;707 268;;;;;;;;;;;;;;
Spain;Ibiza;IBZ;6 477 283;;;;;;;;;;;;;;
Spain;Jerez de la Frontera;XRY;823 177;;;;;;;;;;;;;;
Spain;Lanzarote;ACE;6 124 321;;;;;;;;;;;;;;
Spain;La Palma;SPC;971 676;;;;;;;;;;;;;;
Spain;Madrid;MAD;46 828 279;;;;;;;;;;;;;;
Spain;Malaga;AGP;14 404 170;;;;;;;;;;;;;;
Spain;Melilla;MLN;317 806;;;;;;;;;;;;;;
Spain;Menorca;MAH;2 867 482;;;;;;;;;;;;;;
Spain;Murcia San Javier;MJV;1 067 576;;;;;;;;;;;;;;
Spain;Palma de Mallorca;PMI;23 745 131;;;;;;;;;;;;;;
Spain;Pamplona;PNA;148 710;;;;;;;;;;;;;;
Spain;Reus;REU;705 067;;;;;;;;;;;;;;
Spain;San Sebastian;EAS;255 071;;;;;;;;;;;;;;
Spain;Santander;SDR;875 920;;;;;;;;;;;;;;
Spain;Santiago de Compostela;SCQ;2 296 248;;;;;;;;;;;;;;
Spain;Seville;SVQ;4 308 942;;;;;;;;;;;;;;
Spain;Tenerife Norte;TFN;3 815 315;;;;;;;;;;;;;;
Spain;Tenerife Sur;TFS;9 117 637;;;;;;;;;;;;;;
Spain;Valencia;VLC;5 051 871;;;;;;;;;;;;;;
Spain;Valladolid;VLL;218 293;;;;;;;;;;;;;;
Spain;Vigo;VGO;713 563;;;;;;;;;;;;;;
Spain;Zaragoza;ZAZ;423 873;;;;;;;;;;;;;;
Sweden;Top 22 airports;;41 259 973;;;;;;;;;;;;;;
Sweden;Angelholm;AGH;411 625;;;;;;;;;;;;;;
Sweden;Gothenburg Landvetter;GOT;6 158 334;;;;;;;;;;;;;;
Sweden;Halmstad;HAD;119 959;;;;;;;;;;;;;;
Sweden;Jonkoping;JKG;106 923;;;;;;;;;;;;;;
Sweden;Kalmar;KLR;222 848;;;;;;;;;;;;;;
Sweden;Kiruna;KRN;257 561;;;;;;;;;;;;;;
